"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","1","","","","","","Ajout de plusieurs quantités d'un même produit -- @1.2 ",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","1","","","","","","Ajout de plusieurs quantités d'un même produit -- @1.1 ",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","1","","","","","","La sauvegarde reflète la suppression d'un produit du panier",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","0","","","","","","Le panier est sauvegardé avec les produits et leurs quantités",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","0","","","","","","Le total du panier est correct après ajout de plusieurs produits",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","1","","","","","","Ajout d'un produit au panier depuis la page produit",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","0","","","","","","Calcul du total pour un seul produit -- @1.2 ",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","1","","","","","","Ajout de plusieurs produits différents au panier",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","0","","","","","","Calcul du total pour un seul produit -- @1.3 ",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","1","","","","","","Le total est recalculé après suppression d'un produit",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","0","","","","","","Le total est recalculé après modification de quantité",""
"passed","Tue Mar 10 16:25:04 UTC 2026","Tue Mar 10 16:25:11 UTC 2026","7782","","","","","","La homepage affiche des produits",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","1","","","","","","Le total est identique du panier jusqu'à la confirmation",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","0","","","","","","Le panier sauvegardé peut être utilisé pour passer commande",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","1","","","","","","Calcul du total pour un seul produit -- @1.1 ",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","1","","","","","","Le total du panier restauré est correct",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","0","","","","","","Le prix du produit ajouté correspond au catalogue",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","0","","","","","","Calcul du total pour plusieurs produits différents",""
"skipped","Tue Mar 10 16:25:12 UTC 2026","Tue Mar 10 16:25:12 UTC 2026","1","","","","","","Le total est affiché avec le bon format monétaire",""
